"YEAR","STATE","EVTYPE","COUNT","FATALITIES","INJURIES","PROPDMG","CROPDMG"
1950,"alabama","TORNADO",2,0,15,0.0275,0
1951,"alabama","TORNADO",5,0,13,0.035,0
1952,"alabama","TORNADO",13,6,116,5.4525,0
1953,"alabama","TORNADO",22,16,248,3.07,0
1954,"alabama","TORNADO",10,0,36,0.60753,0
1955,"alabama","TORNADO",8,5,27,7.58,0
1955,"alabama","THUNDERSTORM / THUNDERSTORM WIND",13,0,0,0,0
1955,"alabama","HAIL",9,0,0,0,0
1956,"alabama","THUNDERSTORM / THUNDERSTORM WIND",15,0,0,0,0
1956,"alabama","HAIL",4,0,0,0,0
1956,"alabama","TORNADO",7,25,203,2.55325,0
1957,"alabama","TORNADO",51,10,192,7.22328,0
1957,"alabama","HAIL",6,0,0,0,0
1957,"alabama","THUNDERSTORM / THUNDERSTORM WIND",13,0,0,0,0
1958,"alabama","TORNADO",23,1,3,2.06,0
1958,"alabama","THUNDERSTORM / THUNDERSTORM WIND",3,0,0,0,0
1958,"alabama","HAIL",10,0,0,0,0
1959,"alabama","TORNADO",9,0,8,0.3305,0
1959,"alabama","THUNDERSTORM / THUNDERSTORM WIND",13,0,0,0,0
1959,"alabama","HAIL",4,0,0,0,0
1960,"alabama","TORNADO",11,0,2,0.5575,0
1960,"alabama","THUNDERSTORM / THUNDERSTORM WIND",13,0,0,0,0
1960,"alabama","HAIL",5,0,0,0,0
1961,"alabama","TORNADO",24,0,28,2.535,0
1961,"alabama","THUNDERSTORM / THUNDERSTORM WIND",21,0,0,0,0
1961,"alabama","HAIL",7,0,0,0,0
1962,"alabama","TORNADO",11,0,10,0.9275,0
1962,"alabama","THUNDERSTORM / THUNDERSTORM WIND",29,0,0,0,0
1962,"alabama","HAIL",9,0,0,0,0
1963,"alabama","THUNDERSTORM / THUNDERSTORM WIND",26,0,0,0,0
1963,"alabama","TORNADO",22,3,76,9.228,0
1963,"alabama","HAIL",8,0,0,0,0
1964,"alabama","TORNADO",26,12,31,2.1575,0
1964,"alabama","THUNDERSTORM / THUNDERSTORM WIND",26,0,0,0,0
1964,"alabama","HAIL",6,0,0,0,0
1965,"alabama","TORNADO",11,0,44,1.3525,0
1965,"alabama","THUNDERSTORM / THUNDERSTORM WIND",18,0,0,0,0
1965,"alabama","HAIL",14,0,0,0,0
1966,"alabama","THUNDERSTORM / THUNDERSTORM WIND",13,0,0,0,0
1966,"alabama","TORNADO",11,1,17,1.1275,0
1966,"alabama","HAIL",1,0,0,0,0
1967,"alabama","TORNADO",26,5,97,12.75275,0
1967,"alabama","THUNDERSTORM / THUNDERSTORM WIND",51,0,0,0,0
1967,"alabama","HAIL",20,0,0,0,0
1968,"alabama","TORNADO",14,1,46,7.27775,0
1968,"alabama","THUNDERSTORM / THUNDERSTORM WIND",57,0,0,0,0
1968,"alabama","HAIL",17,0,0,0,0
1969,"alabama","HAIL",7,0,0,0,0
1969,"alabama","THUNDERSTORM / THUNDERSTORM WIND",39,0,0,0,0
1969,"alabama","TORNADO",15,2,16,1.63028,0
1970,"alabama","THUNDERSTORM / THUNDERSTORM WIND",34,0,0,0,0
1970,"alabama","TORNADO",14,2,16,1.1755,0
1970,"alabama","HAIL",14,0,0,0,0
1971,"alabama","THUNDERSTORM / THUNDERSTORM WIND",82,0,0,0,0
1971,"alabama","TORNADO",23,4,16,1.65275,0
1971,"alabama","HAIL",30,0,0,0,0
1972,"alabama","TORNADO",16,4,95,1.9075,0
1972,"alabama","THUNDERSTORM / THUNDERSTORM WIND",32,0,0,0,0
1972,"alabama","HAIL",13,0,0,0,0
1973,"alabama","THUNDERSTORM / THUNDERSTORM WIND",110,0,0,0,0
1973,"alabama","TORNADO",54,10,408,227.06025,0
1973,"alabama","HAIL",32,0,0,0,0
1974,"alabama","HAIL",46,0,0,0,0
1974,"alabama","TORNADO",55,79,959,139.5185,0
1974,"alabama","THUNDERSTORM / THUNDERSTORM WIND",84,0,0,0,0
1975,"alabama","HAIL",25,0,0,0,0
1975,"alabama","THUNDERSTORM / THUNDERSTORM WIND",73,0,0,0,0
1975,"alabama","TORNADO",35,2,142,34.90528,0
1976,"alabama","THUNDERSTORM / THUNDERSTORM WIND",50,0,0,0,0
1976,"alabama","TORNADO",30,0,61,10.33275,0
1976,"alabama","HAIL",20,0,0,0,0
1977,"alabama","THUNDERSTORM / THUNDERSTORM WIND",77,0,0,0,0
1977,"alabama","TORNADO",22,23,144,28.135,0
1977,"alabama","HAIL",32,0,0,0,0
1978,"alabama","THUNDERSTORM / THUNDERSTORM WIND",74,0,0,0,0
1978,"alabama","TORNADO",22,0,49,6.4525,0
1978,"alabama","HAIL",23,0,0,0,0
1979,"alabama","THUNDERSTORM / THUNDERSTORM WIND",57,0,0,0,0
1979,"alabama","HAIL",14,0,0,0,0
1979,"alabama","TORNADO",26,0,44,6.71025,0
1980,"alabama","HAIL",29,0,0,0,0
1980,"alabama","THUNDERSTORM / THUNDERSTORM WIND",76,0,0,0,0
1980,"alabama","TORNADO",29,0,26,4.63525,0
1981,"alabama","THUNDERSTORM / THUNDERSTORM WIND",79,0,0,0,0
1981,"alabama","TORNADO",14,2,90,30.35553,0
1981,"alabama","HAIL",20,0,0,0,0
1982,"alabama","TORNADO",28,0,18,3.91278,0
1982,"alabama","HAIL",59,0,0,0,0
1982,"alabama","THUNDERSTORM / THUNDERSTORM WIND",85,0,0,0,0
1983,"alabama","THUNDERSTORM / THUNDERSTORM WIND",204,1,4,0,0
1983,"alabama","TORNADO",49,3,101,16.09278,0
1983,"alabama","HAIL",27,0,0,0,0
1984,"alabama","THUNDERSTORM / THUNDERSTORM WIND",157,11,18,0,0
1984,"alabama","TORNADO",46,5,60,39.258,0
1984,"alabama","HAIL",83,0,0,0,0
1985,"alabama","TORNADO",48,1,31,23.21312,0
1985,"alabama","THUNDERSTORM / THUNDERSTORM WIND",226,3,18,0,0
1985,"alabama","HAIL",61,0,0,0,0
1986,"alabama","THUNDERSTORM / THUNDERSTORM WIND",208,6,22,0,0
1986,"alabama","HAIL",38,0,0,0,0
1986,"alabama","TORNADO",20,2,14,16.82825,0
1987,"alabama","THUNDERSTORM / THUNDERSTORM WIND",116,0,5,0,0
1987,"alabama","HAIL",32,0,0,0,0
1987,"alabama","TORNADO",7,1,0,0.05003,0
1988,"alabama","HAIL",111,0,0,0,0
1988,"alabama","THUNDERSTORM / THUNDERSTORM WIND",149,0,0,0,0
1988,"alabama","TORNADO",20,0,59,31.1,0
1989,"alabama","TORNADO",25,21,478,521.105,0
1989,"alabama","THUNDERSTORM / THUNDERSTORM WIND",263,0,21,0,0
1989,"alabama","HAIL",81,0,0,0,0
1990,"alabama","HAIL",77,0,0,0,0
1990,"alabama","THUNDERSTORM / THUNDERSTORM WIND",341,0,96,0,0
1990,"alabama","TORNADO",19,0,74,17.8,0
1991,"alabama","THUNDERSTORM / THUNDERSTORM WIND",174,0,19,0,0
1991,"alabama","HAIL",68,0,0,0,0
1991,"alabama","TORNADO",10,5,33,3.25,0
1992,"alabama","THUNDERSTORM / THUNDERSTORM WIND",265,2,11,0,0
1992,"alabama","TORNADO",28,2,65,21.9,0
1952,"arizona","TORNADO",1,0,0,0,0
1954,"arizona","TORNADO",2,0,0,0,0
1955,"arizona","THUNDERSTORM / THUNDERSTORM WIND",4,0,0,0,0
1955,"arizona","HAIL",2,0,0,0,0
1955,"arizona","TORNADO",1,0,0,0.025,0
1956,"arizona","THUNDERSTORM / THUNDERSTORM WIND",4,0,0,0,0
1956,"arizona","TORNADO",3,0,0,0.00025,0
1957,"arizona","TORNADO",5,0,0,0.02756,0
1957,"arizona","HAIL",1,0,0,0,0
1957,"arizona","THUNDERSTORM / THUNDERSTORM WIND",4,0,0,0,0
1958,"arizona","TORNADO",4,0,0,0.00506,0
1958,"arizona","HAIL",1,0,0,0,0
1958,"arizona","THUNDERSTORM / THUNDERSTORM WIND",8,0,0,0,0
1959,"arizona","THUNDERSTORM / THUNDERSTORM WIND",9,0,0,0,0
1959,"arizona","TORNADO",2,0,1,0.275,0
1960,"arizona","TORNADO",2,0,0,0.025,0
1960,"arizona","THUNDERSTORM / THUNDERSTORM WIND",3,0,0,0,0
1960,"arizona","HAIL",1,0,0,0,0
1961,"arizona","THUNDERSTORM / THUNDERSTORM WIND",19,0,0,0,0
1961,"arizona","TORNADO",3,0,3,0.525,0
1961,"arizona","HAIL",2,0,0,0,0
1962,"arizona","HAIL",3,0,0,0,0
1962,"arizona","THUNDERSTORM / THUNDERSTORM WIND",4,0,0,0,0
1962,"arizona","TORNADO",3,0,0,0.00275,0
1963,"arizona","THUNDERSTORM / THUNDERSTORM WIND",12,0,0,0,0
1963,"arizona","TORNADO",1,0,0,0,0
1963,"arizona","HAIL",1,0,0,0,0
1964,"arizona","HAIL",3,0,0,0,0
1964,"arizona","THUNDERSTORM / THUNDERSTORM WIND",5,0,0,0,0
1964,"arizona","TORNADO",2,2,9,0.025,0
1965,"arizona","THUNDERSTORM / THUNDERSTORM WIND",7,0,0,0,0
1965,"arizona","HAIL",2,0,0,0,0
1966,"arizona","THUNDERSTORM / THUNDERSTORM WIND",6,0,0,0,0
1966,"arizona","TORNADO",5,0,9,0.0525,0
1966,"arizona","HAIL",3,0,0,0,0
1967,"arizona","THUNDERSTORM / THUNDERSTORM WIND",8,0,0,0,0
1967,"arizona","TORNADO",5,0,0,0.075,0
1967,"arizona","HAIL",2,0,0,0,0
1968,"arizona","HAIL",2,0,0,0,0
1968,"arizona","TORNADO",5,0,8,0.3,0
1968,"arizona","THUNDERSTORM / THUNDERSTORM WIND",9,0,0,0,0
1969,"arizona","TORNADO",4,0,2,0.275,0
1969,"arizona","THUNDERSTORM / THUNDERSTORM WIND",13,0,0,0,0
1970,"arizona","THUNDERSTORM / THUNDERSTORM WIND",12,0,0,0,0
1970,"arizona","TORNADO",3,0,0,0.025,0
1970,"arizona","HAIL",3,0,0,0,0
1971,"arizona","THUNDERSTORM / THUNDERSTORM WIND",14,0,0,0,0
1971,"arizona","TORNADO",7,0,43,2.85,0
1971,"arizona","HAIL",4,0,0,0,0
1972,"arizona","THUNDERSTORM / THUNDERSTORM WIND",12,0,0,0,0
1972,"arizona","TORNADO",17,0,18,30.62518,0
1972,"arizona","HAIL",7,0,0,0,0
1973,"arizona","TORNADO",2,0,0,0,0
1973,"arizona","HAIL",2,0,0,0,0
1973,"arizona","THUNDERSTORM / THUNDERSTORM WIND",10,0,0,0,0
1974,"arizona","THUNDERSTORM / THUNDERSTORM WIND",24,0,0,0,0
1974,"arizona","TORNADO",10,1,40,0.28,0
1974,"arizona","HAIL",5,0,0,0,0
1975,"arizona","THUNDERSTORM / THUNDERSTORM WIND",26,0,0,0,0
1975,"arizona","TORNADO",1,0,0,0,0
1976,"arizona","THUNDERSTORM / THUNDERSTORM WIND",23,0,0,0,0
1976,"arizona","TORNADO",5,0,0,0.0025,0
1976,"arizona","HAIL",2,0,0,0,0
1977,"arizona","THUNDERSTORM / THUNDERSTORM WIND",19,0,0,0,0
1977,"arizona","TORNADO",2,0,0,0,0
1978,"arizona","TORNADO",2,0,0,0,0
1978,"arizona","THUNDERSTORM / THUNDERSTORM WIND",21,0,0,0,0
1978,"arizona","HAIL",4,0,0,0,0
1979,"arizona","HAIL",8,0,0,0,0
1979,"arizona","THUNDERSTORM / THUNDERSTORM WIND",18,0,0,0,0
1979,"arizona","TORNADO",3,0,3,0.025,0
1980,"arizona","THUNDERSTORM / THUNDERSTORM WIND",19,0,0,0,0
1980,"arizona","TORNADO",2,0,0,0,0
1980,"arizona","HAIL",1,0,0,0,0
1981,"arizona","THUNDERSTORM / THUNDERSTORM WIND",15,0,0,0,0
1981,"arizona","HAIL",7,0,0,0,0
1981,"arizona","TORNADO",3,0,0,0.75,0
1982,"arizona","HAIL",11,0,0,0,0
1982,"arizona","THUNDERSTORM / THUNDERSTORM WIND",22,0,0,0,0
1982,"arizona","TORNADO",1,0,0,3e-05,0
1983,"arizona","THUNDERSTORM / THUNDERSTORM WIND",44,0,0,0,0
1983,"arizona","TORNADO",5,0,0,0.5525,0
1983,"arizona","HAIL",7,0,0,0,0
1984,"arizona","THUNDERSTORM / THUNDERSTORM WIND",17,0,1,0,0
1984,"arizona","TORNADO",4,0,0,0.3,0
1984,"arizona","HAIL",7,0,0,0,0
1985,"arizona","TORNADO",3,0,0,0.025,0
1985,"arizona","THUNDERSTORM / THUNDERSTORM WIND",15,0,24,0,0
1985,"arizona","HAIL",6,0,0,0,0
1986,"arizona","THUNDERSTORM / THUNDERSTORM WIND",49,0,2,0,0
1986,"arizona","HAIL",10,0,0,0,0
1986,"arizona","TORNADO",2,0,0,0.25,0
1987,"arizona","THUNDERSTORM / THUNDERSTORM WIND",21,0,4,0,0
1987,"arizona","HAIL",9,0,0,0,0
1987,"arizona","TORNADO",3,0,0,0.00275,0
1988,"arizona","THUNDERSTORM / THUNDERSTORM WIND",36,3,25,0,0
1988,"arizona","TORNADO",1,0,0,0.025,0
1988,"arizona","HAIL",2,0,4,0,0
1989,"arizona","TORNADO",1,0,0,0.025,0
1989,"arizona","THUNDERSTORM / THUNDERSTORM WIND",25,0,3,0,0
1990,"arizona","THUNDERSTORM / THUNDERSTORM WIND",50,6,24,0,0
1990,"arizona","TORNADO",3,0,0,0.0025,0
1990,"arizona","HAIL",8,0,0,0,0
1991,"arizona","THUNDERSTORM / THUNDERSTORM WIND",27,0,2,0,0
1991,"arizona","HAIL",7,0,0,0,0
1991,"arizona","TORNADO",2,0,2,0.25,0
1992,"arizona","TORNADO",13,0,1,2.65275,0
1992,"arizona","THUNDERSTORM / THUNDERSTORM WIND",48,0,0,0,0
1950,"arkansas","TORNADO",13,2,49,0.86003,0
1951,"arkansas","TORNADO",3,0,7,0.05,0
1952,"arkansas","TORNADO",29,112,731,7.23528,0
1953,"arkansas","TORNADO",11,0,9,1.0375,0
1954,"arkansas","TORNADO",33,1,38,2.17775,0
1955,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",24,0,0,0,0
1955,"arkansas","TORNADO",28,2,33,3.0105,0
1955,"arkansas","HAIL",13,0,0,0,0
1956,"arkansas","TORNADO",17,1,19,1.205,0
1956,"arkansas","HAIL",16,0,0,0,0
1956,"arkansas","THUNDERSTORM / THUNDERSTORM WIND",33,0,0,0,0
1957,"arkansas","TORNADO",28,3,30,1.0085,0
1957,"arkansas","HAIL",15,0,0,0,0
